股票代號,股票名稱,2021上市上櫃
5014,建錩,2
5015,華祺,2
5016,松和,2
5102,富強,2
5201,凱衛,2
5202,力新,2
5203,訊連,1
5205,中茂,2
5206,坤悅,2
5209,新鼎,2
5210,寶碩,2
5211,蒙恬,2
5212,凌網,2
5213,亞昕,2
5215,科嘉-KY,1
5220,萬達光電,2
5222,全訊,1
5223,安力-KY,2
5225,東科-KY,1
5227,立凱-KY,2
5230,雷笛克光學,2
5234,達興材料,1
5236,凌陽創新,2
5243,乙盛-KY,1
5245,智晶,2
5251,天鉞電,2
5258,虹堡,1
5263,智崴,2
5269,祥碩,1
5272,笙科,2
5274,信驊,2
5276,達輝-KY,2
5278,尚凡,2
5281,大峽谷-KY,2
5283,禾聯碩,1
5284,jpp-KY,1
5285,界霖,1
5287,數字,2
5288,豐祥-KY,1
5289,宜鼎,2
5291,邑昇,2
5299,杰力,2
5301,寶得利,2
5302,太欣,2
5306,桂盟,2
5309,系統電,2
5310,天剛,2
5312,寶島科,2
5314,世紀,2
5315,光聯,2
5321,美而快,2
5324,士開,2
5328,華容,2
5340,建榮,2
5344,立衛,2
5345,天揚,2
5347,世界,2
5348,系通,2
5351,鈺創,2
5353,台林,2
5355,佳總,2
5356,協益,2
5364,力麗店,2
5371,中光電,2
5381,合正,2
5383,金利,2
5386,青雲,2
5388,中磊,1
5392,能率,2
5398,慕康生醫,2
5403,中菲,2
5410,國眾,2
5425,台半,2
5426,振發,2
5432,新門,2
5434,崇越,1
5438,東友,2
5439,高技,2
5443,均豪,2
5450,南良,2
5452,佶優,2
5455,昇益,2
5457,宣德,2
5460,同協,2
5464,霖宏,2
5465,富驊,2
5468,凱鈺,2
5469,瀚宇博,1
5471,松翰,1
5474,聰泰,2
5475,德宏,2
5478,智冠,2
5481,新華,2
5483,中美晶,2
5484,慧友,1
5487,通泰,2
5488,松普,2
5489,彩富,2
5490,同亨,2
5493,三聯,2
5498,凱崴,2
5508,永信建,2
5511,德昌,2
5512,力麒,2
5514,三豐,2
5515,建國,1
5516,雙喜,2
5519,隆大,1
5520,力泰,2
